 INFO  Accepting connections at http://localhost:3000
 HTTP  2025/12/1 銝?9:51:51 ::1 Returned 200 in 1 ms
 HTTP  2025/12/1 銝?9:51:51 ::1 Returned 200 in 1 ms
 HTTP  2025/12/1 銝?9:51:52 ::1 GET /favicon.ico
 HTTP  2025/12/1 銝?9:51:52 ::1 Returned 200 in 1 ms
 HTTP  2025/12/1 銝?9:51:53 ::1 GET /favicon.ico
 HTTP  2025/12/1 銝?9:51:53 ::1 Returned 304 in 0 ms
 HTTP  2025/12/1 銝?9:51:53 ::1 GET /leave-application
 HTTP  2025/12/1 銝?9:51:53 ::1 Returned 200 in 0 ms
 HTTP  2025/12/1 銝?9:51:53 ::1 GET /static/js/main.f9daecb2.js
 HTTP  2025/12/1 銝?9:51:53 ::1 GET /static/css/main.6337f997.css
 HTTP  2025/12/1 銝?9:51:53 ::1 Returned 304 in 1 ms
 HTTP  2025/12/1 銝?9:51:53 ::1 Returned 304 in 1 ms
 HTTP  2025/12/1 銝?9:51:53 ::1 GET /favicon.ico
 HTTP  2025/12/1 銝?9:51:53 ::1 Returned 304 in 0 ms
 HTTP  2025/12/1 銝?9:51:54 ::1 GET /login
 HTTP  2025/12/1 銝?9:51:54 ::1 Returned 200 in 1 ms
 HTTP  2025/12/1 銝?9:51:54 ::1 GET /static/js/main.f9daecb2.js
 HTTP  2025/12/1 銝?9:51:54 ::1 GET /static/css/main.6337f997.css
 HTTP  2025/12/1 銝?9:51:54 ::1 Returned 200 in 2 ms
 HTTP  2025/12/1 銝?9:51:54 ::1 Returned 200 in 1 ms
 HTTP  2025/12/1 銝?9:51:55 ::1 GET /favicon.ico
 HTTP  2025/12/1 銝?9:51:55 ::1 Returned 200 in 1 ms
 HTTP  2025/12/1 銝?9:51:56 ::1 GET /favicon.ico
 HTTP  2025/12/1 銝?9:51:56 ::1 Returned 304 in 1 ms
 HTTP  2025/12/1 銝?9:51:56 ::1 GET /leave-application
 HTTP  2025/12/1 銝?9:51:56 ::1 Returned 200 in 0 ms
 HTTP  2025/12/1 銝?9:51:56 ::1 GET /static/js/main.f9daecb2.js
 HTTP  2025/12/1 銝?9:51:56 ::1 GET /static/css/main.6337f997.css
 HTTP  2025/12/1 銝?9:51:56 ::1 Returned 304 in 1 ms
 HTTP  2025/12/1 銝?9:51:56 ::1 Returned 304 in 1 ms
 HTTP  2025/12/1 銝?9:51:56 ::1 GET /favicon.ico
 HTTP  2025/12/1 銝?9:51:56 ::1 Returned 304 in 1 ms
 HTTP  2025/12/1 銝?9:51:58 ::1 GET /login
 HTTP  2025/12/1 銝?9:51:58 ::1 Returned 200 in 1 ms
 HTTP  2025/12/1 銝?9:51:58 ::1 GET /static/js/main.f9daecb2.js
 HTTP  2025/12/1 銝?9:51:58 ::1 GET /static/css/main.6337f997.css
 HTTP  2025/12/1 銝?9:51:58 ::1 Returned 200 in 2 ms
 HTTP  2025/12/1 銝?9:51:58 ::1 Returned 200 in 1 ms
 HTTP  2025/12/1 銝?9:51:58 ::1 GET /favicon.ico
 HTTP  2025/12/1 銝?9:51:58 ::1 Returned 200 in 1 ms
 HTTP  2025/12/1 銝?9:51:59 ::1 GET /favicon.ico
 HTTP  2025/12/1 銝?9:51:59 ::1 Returned 304 in 1 ms
 HTTP  2025/12/1 銝?9:51:59 ::1 GET /leave-approval
 HTTP  2025/12/1 銝?9:51:59 ::1 Returned 200 in 1 ms
 HTTP  2025/12/1 銝?9:51:59 ::1 GET /static/js/main.f9daecb2.js
 HTTP  2025/12/1 銝?9:51:59 ::1 GET /static/css/main.6337f997.css
 HTTP  2025/12/1 銝?9:51:59 ::1 Returned 304 in 1 ms
 HTTP  2025/12/1 銝?9:51:59 ::1 Returned 304 in 0 ms
 HTTP  2025/12/1 銝?9:51:59 ::1 GET /favicon.ico
 HTTP  2025/12/1 銝?9:51:59 ::1 Returned 304 in 0 ms
 HTTP  2025/12/1 銝?9:54:39 ::1 GET /login
 HTTP  2025/12/1 銝?9:54:39 ::1 Returned 200 in 1 ms
 HTTP  2025/12/1 銝?9:54:40 ::1 GET /static/js/main.f9daecb2.js
 HTTP  2025/12/1 銝?9:54:40 ::1 Returned 200 in 2 ms
 HTTP  2025/12/1 銝?9:54:40 ::1 GET /static/css/main.6337f997.css
 HTTP  2025/12/1 銝?9:54:40 ::1 Returned 200 in 0 ms
 HTTP  2025/12/1 銝?9:54:40 ::1 GET /favicon.ico
 HTTP  2025/12/1 銝?9:54:40 ::1 Returned 200 in 1 ms
 HTTP  2025/12/1 銝?9:54:43 ::1 GET /favicon.ico
 HTTP  2025/12/1 銝?9:54:43 ::1 Returned 304 in 1 ms
 HTTP  2025/12/1 銝?9:54:43 ::1 GET /leave-application
 HTTP  2025/12/1 銝?9:54:43 ::1 Returned 200 in 1 ms
 HTTP  2025/12/1 銝?9:54:43 ::1 GET /static/js/main.f9daecb2.js
 HTTP  2025/12/1 銝?9:54:43 ::1 GET /static/css/main.6337f997.css
 HTTP  2025/12/1 銝?9:54:43 ::1 Returned 304 in 2 ms
 HTTP  2025/12/1 銝?9:54:43 ::1 Returned 304 in 0 ms
 HTTP  2025/12/1 銝?9:54:43 ::1 GET /favicon.ico
 HTTP  2025/12/1 銝?9:54:43 ::1 Returned 304 in 1 ms
 HTTP  2025/12/1 銝?9:54:50 ::1 GET /login
 HTTP  2025/12/1 銝?9:54:50 ::1 Returned 200 in 1 ms
 HTTP  2025/12/1 銝?9:54:50 ::1 GET /static/js/main.f9daecb2.js
 HTTP  2025/12/1 銝?9:54:50 ::1 Returned 200 in 2 ms
 HTTP  2025/12/1 銝?9:54:50 ::1 GET /static/css/main.6337f997.css
 HTTP  2025/12/1 銝?9:54:50 ::1 Returned 200 in 1 ms
 HTTP  2025/12/1 銝?9:54:50 ::1 GET /favicon.ico
 HTTP  2025/12/1 銝?9:54:50 ::1 Returned 200 in 1 ms
 HTTP  2025/12/1 銝?9:54:51 ::1 GET /favicon.ico
 HTTP  2025/12/1 銝?9:54:51 ::1 Returned 304 in 1 ms
 HTTP  2025/12/1 銝?9:54:51 ::1 GET /leave-application
 HTTP  2025/12/1 銝?9:54:51 ::1 Returned 200 in 1 ms
 HTTP  2025/12/1 銝?9:54:51 ::1 GET /static/js/main.f9daecb2.js
 HTTP  2025/12/1 銝?9:54:51 ::1 GET /static/css/main.6337f997.css
 HTTP  2025/12/1 銝?9:54:51 ::1 Returned 304 in 0 ms
 HTTP  2025/12/1 銝?9:54:51 ::1 Returned 304 in 1 ms
 HTTP  2025/12/1 銝?9:54:51 ::1 GET /favicon.ico
